26,30,Adani Ports and Special Economic Zone Ltd,INE742F01042,ADANIPORTS,"1,77,136.87",ADANIPORTS,"1,76,022.62",,,"1,76,579.75",Large Cap,ADANIPORTS,25.0,Adani Ports and Special Economic Zone Limited,28985824.4334825
27,31,Oil And Natural Gas Corporation Ltd,INE213A01029,ONGC,"1,69,632.48",ONGC,"1,69,645.57",,,"1,69,639.02",Large Cap,ONGC,19.0,Oil & Natural Gas Corporation Limited,33721438.411683
28,32,JSW Steel Limited,INE019A01038,JSWSTEEL,"1,62,196.46",JSWSTEEL,"1,62,210.48",,,"1,62,203.47",Large Cap,JSWSTEEL,40.0,JSW Steel Limited,20302158.825732
29,33,NTPC Limited,INE733E01010,NTPC,"1,58,237.57",NTPC,"1,58,284.11",,,"1,58,260.84",Large Cap,NTPC,21.0,NTPC Limited,32561404.877972003
30,34,Mahindra & Mahindra Ltd.,INE101A01026,M&M,"1,55,481.86",M&M,"1,55,504.74",,,"1,55,493.30",Large Cap,M&M,34.0,Mahindra & Mahindra Limited,23892541.1944185
31,35,Tata Motors Ltd.,INE155A01022,TATAMOTORS,"1,54,015.36",TATAMOTORS,"1,54,020.01",,,"1,54,017.68",Large Cap,TATAMOTORS,20.0,Tata Motors Limited,32993242.212424
32,36,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,"1,52,524.14",POWERGRID,"1,52,556.22",,,"1,52,540.18",Large Cap,POWERGRID,31.0,Power Grid Corporation of India Limited,25753371.974811003
33,37,Coal India Limited,INE522F01014,COALINDIA,"1,37,723.42",COALINDIA,"1,37,740.92",,,"1,37,732.17",Large Cap,COALINDIA,28.0,Coal India Limited,26752403.667507
34,38,Pidilite Industries Ltd.,INE318A01026,PIDILITIND,"1,33,121.09",PIDILITIND,"1,33,116.05",,,"1,33,118.57",Large Cap,PIDILITIND,46.0,Pidilite Industries Limited,15333045.77298
35,39,Adani Power Limited,INE814H01011,ADANIPOWER,"1,31,131.91",ADANIPOWER,"1,31,167.24",,,"1,31,149.58",Large Cap,ADANIPOWER,39.0,Adani Power Limited,20588340.067058
36,40,TATA STEEL LIMITED,INE081A01020,TATASTEEL,"1,26,674.09",TATASTEEL,"1,26,778.09",,,"1,26,726.09",Large Cap,TATASTEEL,41.0,Tata Steel Limited,19455577.096003503
